"date","expo_p","RTW_expo2015","TW_RTW_expo2015","TW_expo2015","wday","RTW_4expo","RTW_Pad_Ita2015","RTW_EUExpo2015","RTW_ExpoinCitta","RTW_askexpo","RTW_RaiExpo","RTW_ExpoMilano2015","RTW_cartadimilano","RTW_alberodellavita","TW_RTW_4expo","TW_RTW_Pad_Ita2015","TW_RTW_EUExpo2015","TW_RTW_ExpoinCitta","TW_RTW_askexpo","TW_RTW_RaiExpo","TW_RTW_ExpoMilano2015","TW_RTW_cartadimilano","TW_RTW_alberodellavita","expo2015_ratio","askexpo_ratio","alberodellavita_ratio","RaiExpo_ratio"
"2015-09-03",109398,3523,6759,3236,"5",17,227,52,50,33,35,138,59,13,19,319,69,86,165,46,379,67,53,1.08868974042027,16.5,0.325,3.18181818181818
"2015-09-04",129562,3048,6134,3086,"6",11,138,96,69,34,70,86,25,7,16,184,122,96,218,91,289,34,52,0.987686325340246,6.8,0.155555555555556,3.33333333333333
"2015-09-05",200919,3173,6433,3260,"7",11,70,144,40,44,43,99,15,14,18,97,179,54,199,66,310,18,78,0.973312883435583,6.28571428571429,0.21875,1.8695652173913
"2015-09-06",156677,4677,7991,3314,"1",6,94,61,48,104,144,106,35,10,11,136,85,62,242,173,383,40,74,1.41128545564273,20.8,0.15625,4.96551724137931
"2015-09-07",142574,4201,7912,3711,"2",18,119,36,79,45,58,72,22,17,25,155,52,116,198,82,366,30,86,1.13203988143358,6.42857142857143,0.246376811594203,2.41666666666667
"2015-09-08",144498,5153,8841,3688,"3",81,178,46,162,44,92,72,38,13,92,218,56,220,192,111,261,44,80,1.39723427331887,4,0.194029850746269,4.84210526315789
"2015-09-09",138870,4492,8612,4120,"4",131,161,52,76,72,74,66,41,30,139,193,74,102,276,91,313,58,111,1.09029126213592,9,0.37037037037037,4.35294117647059
"2015-09-10",146468,4368,8254,3886,"5",102,244,47,51,76,41,96,21,36,106,312,70,80,233,54,339,26,112,1.12403499742666,19,0.473684210526316,3.15384615384615
"2015-09-11",160203,10438,15332,4894,"6",107,197,32,52,75,48,136,28,36,112,259,48,85,225,70,405,33,134,2.13281569268492,15,0.36734693877551,2.18181818181818
"2015-09-12",244994,5762,9729,3967,"7",33,190,18,29,63,25,91,21,23,38,255,29,59,287,43,294,28,109,1.45248298462314,12.6,0.267441860465116,1.38888888888889
"2015-09-13",136951,4866,8696,3830,"1",20,139,5,43,99,28,105,27,15,25,192,15,66,304,45,387,32,94,1.27049608355091,19.8,0.189873417721519,1.64705882352941
"2015-09-14",108739,4173,8013,3840,"2",7,232,99,70,58,83,153,27,27,13,285,122,116,240,109,351,40,101,1.08671875,9.66666666666667,0.364864864864865,3.19230769230769
"2015-09-15",128445,5199,9181,3982,"3",19,322,84,82,45,128,304,20,14,26,416,97,140,188,159,619,29,70,1.30562531391261,6.42857142857143,0.25,4.12903225806452
"2015-09-16",107894,4043,7524,3481,"4",21,171,101,56,45,28,150,25,5,29,219,120,90,164,43,388,33,54,1.1614478598104,5.625,0.102040816326531,1.86666666666667
"2015-09-17",112438,4440,7929,3489,"5",12,120,83,75,58,47,126,26,12,18,150,120,124,173,67,365,28,62,1.2725709372313,9.66666666666667,0.24,2.35
